City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed (MPH),Date
Tuatapere,-46.13,167.69,60.4,75,24,21.27,1541183836
Palauig,15.44,119.9,76.28,100,48,3.15,1541183836
Bilma,18.69,12.92,74.71,17,0,4.38,1541183836
Saint Anthony,43.97,-111.68,53.96,63,90,24.16,1541181360
Cidreira,-30.17,-50.22,73.18,76,0,14.9,1541183837
Barrow,-38.31,-60.23,51.4,98,92,17.25,1541183837
Atuona,-9.8,-139.03,80.78,100,0,11.99,1541183838
Touros,-5.2,-35.46,85.51,66,0,15.46,1541183838
Mataura,-46.19,168.86,61.21,69,80,21.27,1541183838
Rafaela,-31.25,-61.49,86.5,57,0,11.32,1541183839
Port-Gentil,-0.72,8.78,80.6,83,40,8.05,1541181600
Ushuaia,-54.81,-68.31,51.8,43,75,17.22,1541181600
Bjorkelangen,59.88,11.57,38.93,100,80,2.71,1541183840
Hithadhoo,-0.6,73.08,82.49,100,88,12.77,1541183840
Chokurdakh,70.62,147.9,-1.8,59,68,3.04,1541183840
Albany,42.65,-73.75,62.06,86,90,4.38,1541182800
Lorengau,-2.02,147.27,80.87,100,76,7.74,1541183841
Marsh Harbour,26.54,-77.06,82.22,96,24,16.02,1541183716
Juneau,58.3,-134.42,33.8,95,75,3.04,1541181660
Cherskiy,68.75,161.3,-1.44,58,32,0.69,1541183842
Souillac,45.6,-0.6,50,81,0,4.7,1541181600
Basco,40.33,-91.2,55.4,62,75,5.82,1541182500
none,none,none,none,none,none,none,none
Alofi,-19.06,-169.92,71.6,94,90,6.93,1541181600
Sal,36.63,38.46,59.95,44,80,8.08,1541183843
none,none,none,none,none,none,none,none
Ancud,-41.87,-73.83,52.75,84,92,3.27,1541183844
Rudiskes,54.52,24.83,51.8,93,90,6.93,1541181000
Punta Arenas,-53.16,-70.91,60.8,36,75,11.41,1541181600
Tungor,53.39,142.95,36.59,86,20,11.21,1541183844
Puerto Ayora,-0.74,-90.35,77,65,75,9.17,1541181600
Rikitea,-23.12,-134.97,71.83,100,92,16.35,1541183845
Daund,18.46,74.58,76.19,59,80,6.29,1541183845
Arraial do Cabo,-22.97,-42.02,80.6,69,75,5.82,1541181600
none,none,none,none,none,none,none,none
Kapaa,22.08,-159.32,80.06,74,40,12.75,1541181360
Hobart,-42.88,147.33,42.8,81,75,20.8,1541181600
Nioro,13.79,-15.05,91.58,45,24,7.74,1541183846
Te Anau,-45.41,167.72,55.81,74,80,16.35,1541183847
Cape Town,-33.93,18.42,64.4,63,0,12.75,1541181600
Fereydunshahr,32.94,50.12,36.01,45,80,5.84,1541183847
Longyearbyen,78.22,15.63,23,73,75,20.8,1541181000
Saint-Philippe,45.36,-73.48,41,93,90,12.75,1541182260
Tasiilaq,65.61,-37.64,28.4,58,40,5.82,1541181000
Butaritari,3.07,172.79,84.97,100,0,10.65,1541183849
Kongolo,-5.39,27,72.91,84,48,3.49,1541183849
Nyurba,63.29,118.35,14.54,61,76,8.97,1541183849
Sorland,67.67,12.69,46.4,87,75,23.04,1541182800
none,none,none,none,none,none,none,none
Primorsko,42.27,27.75,59,77,90,8.05,1541183400
Alexandria,31.31,-92.44,64.94,50,1,4.16,1541181300
East London,-33.02,27.91,60.8,67,20,9.17,1541181600
Vaini,15.34,74.49,75.52,74,64,4.5,1541183916
none,none,none,none,none,none,none,none
Vao,59.1,26.19,51.58,96,80,9.98,1541183916
Alghero,40.56,8.32,55.4,93,0,1.12,1541181000
Cap Malheureux,-19.98,57.61,75.2,78,20,8.05,1541181600
Ust-Nera,64.57,143.24,-4.5,58,68,2.15,1541183917
Oktyabrskoye,56.73,85.44,27.23,74,88,13.67,1541183918
Bluff,-23.58,149.07,61.43,94,0,5.39,1541183918
Castro,-42.48,-73.76,52.43,87,100,2.59,1541183861
Puerto Carreno,6.19,-67.49,91.4,55,40,3.49,1541181600
Bambous Virieux,-20.34,57.76,75.2,78,20,8.05,1541181600
Berlevag,70.86,29.09,39.2,80,0,20.8,1541181000
Codrington,-28.95,153.24,64.4,78,0,6.73,1541183919
Tornio,61.12,27.27,46.4,100,90,10.29,1541182800
Changping,40.22,116.23,39.2,93,0,2.24,1541181600
Kutum,14.2,24.66,71.11,21,0,9.42,1541183920
Hermanus,-34.42,19.24,66.7,44,0,5.17,1541183921
Mar del Plata,-46.43,-67.52,62.42,49,32,13.44,1541183921
Inirida,3.87,-67.92,88.12,70,8,2.15,1541183921
New Norfolk,-42.78,147.06,42.8,81,75,20.8,1541181600
San Patricio,-26.98,-56.83,84.2,76,68,6.73,1541183922
none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none
Clyde River,70.47,-68.59,14,72,75,8.05,1541181600
Laguna,27.52,-110.01,84.2,28,5,3.6,1541180820
Busselton,-33.64,115.35,58.64,100,44,13,1541183924
Qaanaaq,77.48,-69.36,0.73,100,0,8.75,1541183871
Saint-Joseph,43.56,6.97,59,87,0,2.24,1541181600
Dukat,42.44,22.31,56.75,83,20,1.36,1541183924
Beringovskiy,63.05,179.32,32.95,100,92,9.19,1541183925
Nanortalik,60.14,-45.24,32.54,95,36,9.86,1541183925
Kasongo,-4.43,26.67,71.02,89,24,2.37,1541183925
none,none,none,none,none,none,none,none
Esperance,10.24,-61.45,84.2,79,40,6.93,1541181600
Lakselv,70.05,24.96,39.2,74,0,35.57,1541182800
Upernavik,72.79,-56.15,19.63,100,24,2.37,1541183870
none,none,none,none,none,none,none,none
Daru,7.99,-10.85,85.28,73,32,3.6,1541183927
Ibotirama,-12.18,-43.22,85.28,66,48,4.94,1541183927
none,none,none,none,none,none,none,none
Mouila,-1.86,11.06,79.07,86,88,2.04,1541183927
Georgetown,6.8,-58.16,82.4,83,40,6.93,1541181600
Ostrovnoy,68.05,39.51,27.59,92,20,8.97,1541183928
Ladnun,27.64,74.39,78.08,31,80,5.61,1541183928
Ribeira Grande,38.52,-28.7,69.8,94,40,10.29,1541181600
none,none,none,none,none,none,none,none
Rio Grande,-32.03,-52.1,73.4,53,0,16.11,1541181600
none,none,none,none,none,none,none,none
Kavieng,-2.57,150.8,80.2,100,48,4.94,1541183899
Marsa Matruh,31.35,27.25,73.4,60,0,5.82,1541178000
Tura,25.52,90.21,66.92,90,8,2.26,1541183995
Tuktoyaktuk,69.44,-133.03,12.2,92,90,8.05,1541181600
Ruwi,23.6,58.55,80.6,44,0,3.36,1541181000
Coquimbo,-29.95,-71.34,68,60,0,13.87,1541181600
Jamestown,-33.21,138.6,52.52,86,0,7.29,1541183741
Grenada,33.77,-89.81,59,55,1,6.93,1541181180
Havelock,34.88,-76.9,78.08,84,80,13.87,1541182200
Hilo,19.71,-155.08,73.04,63,1,4.7,1541181360
Auckland,-36.85,174.77,57.2,71,8,9.17,1541181600
Rocha,-34.48,-54.34,69.4,57,36,8.75,1541183997
none,none,none,none,none,none,none,none
Vila Velha,-3.71,-38.6,86,62,20,16.11,1541181600
Sur,22.57,59.53,78.08,100,0,12.66,1541183922
none,none,none,none,none,none,none,none
Kaspiysk,42.88,47.64,51.8,66,12,22.37,1541181600
Port Alfred,-33.59,26.89,63.46,86,0,15.23,1541183998
Antofagasta,-23.65,-70.4,64.4,63,40,11.41,1541181600
none,none,none,none,none,none,none,none
Tilhar,27.96,79.74,64.81,89,0,2.71,1541183999
Kamaishi,39.28,141.86,37.49,85,0,4.16,1541183999
none,none,none,none,none,none,none,none
Husavik,50.56,-96.99,33.8,100,92,5.17,1541184000
Hearst,49.69,-83.67,33.8,66,48,4.16,1541184000
Ngaoundere,7.32,13.58,78.89,39,88,5.95,1541184001
Ngorongoro,-3.24,35.49,59.86,90,24,3.6,1541183883
Yellowknife,62.45,-114.38,26.6,92,90,11.41,1541181600
Kungurtug,50.6,97.53,-12.42,47,0,3.94,1541184001
Havre-Saint-Pierre,50.23,-63.6,39.2,86,1,5.82,1541181600
Thompson,55.74,-97.86,21.2,79,75,4.7,1541181600
Kitab,39.12,66.88,32,90,12,9.17,1541181600
Chuy,-33.69,-53.46,67.6,81,20,11.99,1541184002
Kiunga,-6.12,141.3,72.37,100,92,2.04,1541184003
Qostanay,53.17,63.58,37.4,91,90,13.42,1541181600
Mbini,1.58,9.62,75.2,100,90,1.92,1541181600
Avarua,-21.21,-159.78,77,73,40,12.75,1541181600
Faya,18.39,42.45,66.2,72,20,4.7,1541181600
Bredasdorp,-34.53,20.04,62.6,72,0,19.46,1541181600
Torbay,47.66,-52.73,46.4,65,75,14.99,1541181600
Amapa,15.09,-87.97,91.4,55,75,3.36,1541181600
Mathbaria,22.29,89.96,71.78,98,0,2.15,1541184005
Fortuna,38.18,-1.13,64.4,55,0,3.36,1541183400
Birjand,32.86,59.22,39.2,51,0,6.93,1541181600
Saint George,39.45,22.34,60.8,93,0,3.15,1541181000
Thai Binh,20.45,106.33,60.17,90,0,2.82,1541184006
Sivaki,52.63,126.75,29.3,61,92,7.18,1541184072
Eenhana,-17.48,16.34,80.78,33,0,3.49,1541184072
Geraldton,49.72,-86.95,35.6,55,90,2.24,1541181600
Saqqez,36.24,46.27,47.08,40,12,6.62,1541184073
Namibe,-15.19,12.15,72.73,100,0,10.42,1541183932
Kokopo,-4.34,152.27,79.03,100,56,4.94,1541184073
Yar-Sale,66.83,70.83,10.72,100,36,17.92,1541184074
Port Lincoln,-34.72,135.86,59,91,92,12.66,1541184074
Zhigansk,66.77,123.37,-0.81,67,12,8.19,1541184074
Yurty,56.05,97.64,16.48,45,24,4.5,1541184075
Prabumulih,-3.5,104.19,73.27,97,76,2.37,1541184075
Saldanha,41.42,-6.55,54.14,83,12,3.6,1541183895
none,none,none,none,none,none,none,none
Poum,41.28,20.71,55.4,87,20,2.24,1541181600
Narsaq,60.91,-46.05,24.8,62,40,1.12,1541181000
Schwarzenbek,53.5,10.48,46.4,81,0,4.7,1541182800
Itarema,-2.92,-39.92,89.33,56,12,16.13,1541184077
none,none,none,none,none,none,none,none
Smithers,54.78,-127.17,35.6,100,75,4.7,1541181600
Victoria Point,-27.58,153.3,68,93,0,18.25,1541181600
none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none
Alyangula,-13.85,136.42,82.27,100,8,9.19,1541184078
Leshukonskoye,64.9,45.76,33.31,95,88,1.92,1541184079
Ilulissat,69.22,-51.1,14,51,75,18.34,1541181000
Palana,59.08,159.95,10.13,72,48,2.59,1541184079
Pemba,-12.97,40.52,77,88,75,10.29,1541181600
Gazli,40.13,63.45,27.1,46,0,7.74,1541184080
none,none,none,none,none,none,none,none
Sattahip,12.67,100.9,73.4,73,0,5.82,1541183400
Vardo,39.62,-77.74,69.98,58,40,5.82,1541181600
Lebu,8.96,38.73,52.88,60,0,4.94,1541184081
Isangel,-19.55,169.27,74.12,100,64,25.52,1541184081
Kulhudhuffushi,6.62,73.07,83.53,100,20,4.16,1541184082
Bayir,37.27,28.22,60.8,77,0,1.12,1541181000
The Valley,18.22,-63.06,82.4,74,40,14.99,1541181600
Kirksville,40.19,-92.58,48.2,89,90,9.17,1541181300
Belaya Gora,68.54,146.19,3.92,81,64,3.04,1541184083
Douentza,15.01,-2.95,89.69,25,0,9.86,1541184084
Huntsville,34.73,-86.59,50,70,90,4.7,1541182800
Menongue,-14.66,17.68,77.09,29,0,3.83,1541184084
Dunedin,-45.87,170.5,58.82,64,92,13.56,1541184085
Matagami,9.67,8.4,73.27,82,24,5.06,1541184085
Bethel,60.79,-161.76,17.06,87,1,17.22,1541181180
Mahibadhoo,3.78,72.97,83.17,100,8,4.05,1541184085
Guaymas,27.92,-110.9,84.2,37,5,4.16,1541180400
Marabba,12.35,32.18,82.94,49,0,3.94,1541184086
none,none,none,none,none,none,none,none
Sao Filipe,14.9,-24.5,81.77,85,36,14,1541183793
Mahebourg,-20.41,57.7,75.2,78,20,8.05,1541181600
none,none,none,none,none,none,none,none
Banda Aceh,5.56,95.32,74.17,100,24,2.59,1541184152
Rome,41.89,12.48,66.2,68,40,12.75,1541181300
Kawardha,22.01,81.23,70.75,80,32,2.71,1541184152
Airai,-8.93,125.41,65.53,88,24,1.7,1541184153
Caucasia,7.98,-75.2,79.21,94,92,2.82,1541184153
Hami,42.84,93.51,32.27,77,80,3.04,1541184153
Salalah,17.01,54.1,80.6,78,75,3.36,1541181000
Kangaatsiaq,68.31,-53.46,18.73,100,88,20.27,1541183959
Ornskoldsvik,63.29,18.72,42.8,100,90,5.82,1541182800
Caravelas,-17.73,-39.27,78.67,100,0,13.78,1541183935
Nikolskoye,59.7,30.79,44.6,93,90,4.47,1541181600
Khatanga,71.98,102.47,1.22,71,64,12.77,1541184155
Gat,14.69,-16.54,96.8,32,0,4.7,1541181600
Tomohon,1.33,124.84,77,94,40,1.59,1541183400
Labytnangi,66.66,66.39,2.03,59,0,4.38,1541184093
Pudozh,61.81,36.54,39.38,96,92,9.42,1541184156
Ahuimanu,21.44,-157.84,78.98,82,90,6.93,1541181960
Hamilton,32.3,-64.78,77,57,75,13.87,1541181300
Taloda,21.56,74.21,74.35,65,44,2.93,1541184158
none,none,none,none,none,none,none,none
Carnarvon,-30.97,22.13,55.49,14,0,4.72,1541184158
Nome,30.04,-94.42,69.08,44,1,8.05,1541182500
Mgachi,51.05,142.27,45.14,79,32,12.44,1541184159
Kashima,33.1,130.1,50,87,0,6.93,1541181600
none,none,none,none,none,none,none,none
Pameungpeuk,-7.63,107.73,78.85,100,64,10.31,1541184160
Guerrero Negro,27.97,-114.04,77.23,38,0,3.38,1541184160
Jacareacanga,-6.22,-57.76,86,79,75,4.7,1541181600
none,none,none,none,none,none,none,none
Novyy Urgal,51.07,132.56,31.33,81,56,5.84,1541184161
Washington DC.,38.9,-77.04,75.02,69,40,8.05,1541182500
Barcelos,41.53,-8.62,59,93,20,5.82,1541181600
Naryan-Mar,67.67,53.09,30.7,94,68,10.09,1541184162
none,none,none,none,none,none,none,none
Saskylakh,71.97,114.09,3.47,82,56,9.75,1541184163
Hasaki,35.73,140.83,46.4,100,20,3.36,1541181600
Celestun,20.87,-90.4,75.25,100,92,15.57,1541184163
Sorong,-0.86,131.25,79.34,100,12,2.15,1541184164
Ouango,4.31,22.55,74.08,95,32,2.37,1541184164
Fort Frances,48.61,-93.4,39.02,64,90,6.93,1541181300
College,64.86,-147.8,3.92,85,1,7.07,1541181480
Sechura,-5.56,-80.82,74.98,76,56,7.52,1541184165
Conde,-11.81,-37.61,84.83,63,0,12.1,1541184165
Ukiah,39.15,-123.21,64.94,52,1,2.37,1541181360
Dikson,73.51,80.55,22.64,100,44,6.85,1541184166
Matara,-13.74,-72.9,37.4,328,90,8.05,1541181600
Magan,62.1,129.53,15.8,72,40,15.66,1541181600
Sao Joao da Barra,-21.64,-41.05,82.4,58,40,9.17,1541181600
Walvis Bay,-22.95,14.51,62.6,77,0,8.05,1541181600
Warora,20.23,79,76.1,68,8,5.95,1541184232
Cabo San Lucas,22.89,-109.91,82.4,54,5,6.4,1541180880
Isla Vista,34.41,-119.86,77,29,1,3.36,1541181360
Killybegs,54.63,-8.45,46.9,100,92,26.08,1541184233
Twentynine Palms,34.14,-116.05,86,24,1,4.7,1541181360
none,none,none,none,none,none,none,none
Pacific Grove,36.62,-121.92,68,67,1,5.82,1541181300
Coihaique,-45.58,-72.07,62.6,33,75,10.29,1541181600
Yenagoa,4.92,6.26,79.79,80,88,7.52,1541184234
none,none,none,none,none,none,none,none
Komsomolskiy,67.55,63.78,24.08,85,68,10.65,1541184235
Los Llanos de Aridane,28.66,-17.92,71.6,73,75,14.99,1541183400
Konigs Wusterhausen,52.3,13.63,48.2,87,0,4.7,1541182800
Agadir,30.42,-9.58,69.8,68,0,6.93,1541181600
Okhotsk,59.36,143.24,19.27,100,76,3.94,1541184236
Dicabisagan,17.08,122.42,73.58,100,0,2.37,1541184236
Russell,-33.01,-68.8,82.4,37,20,9.17,1541181600
Sungairaya,0.7,108.9,73.13,100,64,3.04,1541184237
Ginda,30.69,78.49,41.9,100,92,1.36,1541184237
Mikuni,36.22,136.15,51.8,81,75,3.36,1541181600
Marystown,47.17,-55.16,45.59,92,56,13,1541184129
Sinnamary,5.38,-52.96,83.03,92,20,5.39,1541184238
Broken Hill,-31.97,141.45,64.67,46,0,8.97,1541183982
Nara,34.68,135.8,57.2,67,0,9.17,1541181600
Marawi,8,124.29,67.73,94,36,2.37,1541184239
Montmagny,48.97,2.34,44.6,80,0,1.12,1541183400
Ponta do Sol,-20.63,-46,84.43,63,36,4.94,1541184240
Kodiak,39.95,-94.76,48.92,74,90,10.29,1541181180
Wahiawa,21.5,-158.02,78.98,100,90,8.63,1541181960
Port Hardy,50.7,-127.42,51.8,87,75,8.05,1541181600
Hualmay,-11.1,-77.61,73.18,62,0,4.72,1541184241
none,none,none,none,none,none,none,none
Civitanova Marche,43.31,13.72,60.8,93,40,4.7,1541181000
Zemaiciu Naumiestis,55.36,21.7,43.88,93,44,2.93,1541184241
Morris,41.36,-88.42,50.36,51,1,4.7,1541181300
Bama,24.14,107.25,48.88,75,0,2.37,1541184242
Kaitangata,-46.28,169.85,54.91,82,56,9.53,1541184243
North Bend,43.41,-124.22,57.2,100,90,9.17,1541183400
Jalu,29.03,21.55,67.87,47,12,8.3,1541184243
Montbrison,45.61,4.07,50,81,90,8.05,1541183400
